trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,16,8.369203811865606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,13,7.010399695329954,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-101.48815580910315,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-116.80677956811233,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,11,-18.940714215125645,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-59.0429100922969,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",30,0,-159.40522669236154,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,5,-25.8609883788365,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-96.13826415009208,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,0,-102.53100999160677,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",35,0,-136.29538191194587,"{0: 25, 1: 4, 2: 3, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-94.24713023454277,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,16.533801082040657,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,0,-53.08089924996194,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,14,-16.941900250493333,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",30,0,-15.798886111312125,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",30,0,-116.8955783023068,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,0,-124.20956634538386,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-23.733020322033553,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,1,-75.07660316212915,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,1,-78.32683164435704,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,7,-128.93226807229541,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,14,8.075714067225746,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",25,0,-105.67382446340179,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,10.892582073330392,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,0,0.43936601444693335,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,0,-10.88073969272738,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,4,-1.489630235863618,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",30,0,-98.72816475477666,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,0,-73.2188775897427,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,15,4.749577710471981,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,15,-16.543206500591292,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,-27.650994620666527,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,11,-12.402923839360897,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,0,-1.201961565841553,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-77.84470024243222,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,14,12.505842805404754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,26.27375506648738,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,-25.012090941147544,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",30,12,-69.62883753893048,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,2,-78.36226568916041,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,9,19.68458646320576,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,-18.63006816676207,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,0,16.95069481925038,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-12.905937054647804,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",25,2,-31.111614119889317,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,0,-90.59848934174178,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,8,-2.192260635329151,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,3,-21.724179576088723,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,9,-2.308305854542726,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",30,20,-16.99087863928099,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,12,17.404899265005582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",30,6,-80.61405046839721,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 2}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,10,15.669954757776047,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,16,17.14524436071587,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,2.095666211089785,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",30,15,23.142922689505447,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,1,4.849074550746403,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,3,-29.97999234969099,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,13,11.721224569263377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,5,15.660545001112405,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,0,-14.22526208861143,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,16,7.990755983776497,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,11,-5.462178884731041,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,14,-1.4118148103455281,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,0,-26.239108368597403,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",25,11,2.461323497104738,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.3362164937067333}",20,0,12.772826347171817,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,-65.58696648210092,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,8,0.6983984707516957,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",35,7,2.5428056729341018,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",30,16,24.451432887999314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,9,20.618742207402736,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,13,15.509605039480652,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",30,19,-22.27304564458486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,3,-5.068859093432023,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,6,-39.13499842245282,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,13.338755029529715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,15,10.741199342841902,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,10,-40.1550922878857,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",25,10,27.14498601732591,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",35,17,10.48877605914321,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",20,0,29.71601703678509,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,8,13.772260675643462,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,0,-1.2287132653645725,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",30,20,0.4018902220807363,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",30,0,-6.968626841600457,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,15,2.9158277979481757,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,0,2.106426345705506,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,0,-37.92954526094696,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,3,18.760929995212187,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,-1.5637266006687538,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.261845668580326}",25,13,21.28942367196711,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",20,13,0.5532916587733803,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,10,3.2959796886039916,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",25,13,21.308517212199654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,11,20.02020176227821,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,10,-1.5565566071110144,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,6,-16.813412178724754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,0,8.869198406923557,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",35,21,12.523565317993993,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,9,18.320290597380293,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",30,0,13.332637747002662,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,0,15.202819464528245,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,6,-5.161778800103184,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,12,15.832233350267703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,8,-14.986583203196624,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",25,0,6.864286234796086,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,7,19.791701521775558,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,7,10.728321676965011,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",25,0,-5.185116408596023,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",25,2,19.820503141877168,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,0,-12.115018102322027,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",35,15,33.86289338505166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,12,12.854660655059178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,17,15.014990887293806,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,4,26.858713073789573,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,14,-0.11218541375530622,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,3,-6.483799721293945,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",30,13,10.025507812457771,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",25,19,12.577430990095467,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,13,11.763589413447775,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,3,-4.3859609016283185,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",25,10,0.791089460132518,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,10,17.020981805159362,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",35,21,5.307770594243143,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
