trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,True,"{'a': 0, 'e': 0}",25,8,-108.21898361775843,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 1}",1
22,True,"{'a': 0, 'e': 0}",20,0,-103.5887207002419,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
23,True,"{'a': 0, 'e': 0}",20,0,-213.9760088128878,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
24,True,"{'a': 0, 'e': 0}",20,0,-108.85538859919464,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
25,True,"{'a': 0, 'e': 0}",30,0,-216.24885572881374,"{0: 19, 1: 1, 2: 3, 3: 4, 4: 3}",0
26,True,"{'a': 0, 'e': 0}",20,0,-87.0737013490194,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
27,True,"{'a': 0, 'e': 0}",25,0,-124.32132580782599,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
28,True,"{'a': 0, 'e': 0}",25,0,-88.6937258763346,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
29,True,"{'a': 0, 'e': 0}",20,0,-62.735500862276126,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
30,True,"{'a': 0, 'e': 0}",30,0,-175.2934087318288,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
